type,rank,entropy,token,token_id,seq_idx,position,context,marked_context
high,1,0.9739778637886047,9,24,135,453,"254619092, ","25461>>>9<<<092, "
high,2,0.9739310145378113,9,24,135,509,05508964,05508>>>9<<<64
high,3,0.9736027717590332,7,22,135,496,"768447737, ","76844>>>7<<<737, "
high,4,0.9735671877861023,9,24,135,479,.1496960031,.1496>>>9<<<60031
high,5,0.9732575416564941,9,24,135,423,.2798929273,.2798>>>9<<<29273
high,6,0.9731894135475159,9,24,135,467,"258309124, ","25830>>>9<<<124, "
high,7,0.9726966023445129,1,16,135,452,"1254619092,","12546>>>1<<<9092,"
high,8,0.9722847938537598,4,19,135,439,"664194279, ","66419>>>4<<<279, "
high,9,0.9722693562507629,6,21,135,451,.1254619092,.1254>>>6<<<19092
high,10,0.9718119502067566,4,19,135,495,"0768447737,","07684>>>4<<<7737,"
high,11,0.9717922210693359,4,19,135,494,.0768447737,.0768>>>4<<<47737
high,12,0.9717345833778381,0,15,135,466,"1258309124,","12583>>>0<<<9124,"
high,13,0.9717269539833069,1,16,135,437,.1664194279,.1664>>>1<<<94279
high,14,0.9715628623962402,1,16,135,468,"58309124, 0","58309>>>1<<<24, 0"
high,15,0.9713003039360046,4,19,135,511,508964,50896>>>4<<<
high,16,0.9706997871398926,2,17,135,440,"64194279, 0","64194>>>2<<<79, 0"
high,17,0.9706037640571594,9,24,131,434,"5114491dae2b',
","51144>>>9<<<1dae2b',
"
high,18,0.9703903794288635,9,24,135,425,"798929273, ","79892>>>9<<<273, "
high,19,0.9701176285743713,1,16,135,411,"137791803, ","13779>>>1<<<803, "
high,20,0.9700987339019775,4,19,131,433,cb5114491dae2b,cb5114>>>4<<<91dae2b
low,1,0.644372820854187, the,279,421,8, is taking his date to the movies.  The tickets, is taking his date to>>> the<<< movies.  The tickets
low,2,0.6457025408744812, the,279,407,9,an is throwing rocks in the river and he notices that,an is throwing rocks in>>> the<<< river and he notices that
low,3,0.6477001905441284, the,279,431,5,Question: Allison went to the craft store with her friend,Question: Allison went to>>> the<<< craft store with her friend
low,4,0.6492974162101746, the,279,490,5,"Question: In preparation for the church fundraiser, Julia b","Question: In preparation for>>> the<<< church fundraiser, Julia b"
low,5,0.6497528553009033, a,264,424,4,Question: Peter has a plan to take his family,Question: Peter has>>> a<<< plan to take his family
low,6,0.6512731313705444,o,78,415,3,Question: Niko has bought 9 pairs,Question: Nik>>>o<<< has bought 9 pairs
low,7,0.651421844959259, the,279,438,13,47 to go to the store. Clare bought ,47 to go to>>> the<<< store. Clare bought 
low,8,0.6534015536308289, a,264,488,5,Question: Pauline has a garden with vegetables. In,Question: Pauline has>>> a<<< garden with vegetables. In
low,9,0.6538421511650085, by,553,386,3,"E-text prepared by Barbara Tozier, Bill","E-text prepared>>> by<<< Barbara Tozier, Bill"
low,10,0.6539402604103088, by,553,385,3,E-text prepared by D Alexander and the Project,E-text prepared>>> by<<< D Alexander and the Project
low,11,0.6539543271064758, a,264,411,5,Question: A library has a number of books. ,Question: A library has>>> a<<< number of books. 
low,12,0.6542051434516907, by,553,304,3,"E-text prepared by Stephen Hope, Joseph Cooper","E-text prepared>>> by<<< Stephen Hope, Joseph Cooper"
low,13,0.6543324589729309, by,553,362,3,"E-text prepared by Larry Harrison, Cindy B","E-text prepared>>> by<<< Larry Harrison, Cindy B"
low,14,0.6543428897857666, by,553,395,3,E-text prepared by Roger Frank and the Project,E-text prepared>>> by<<< Roger Frank and the Project
low,15,0.6544521450996399, the,279,422,11,572 beans in the jar. One-fourth,572 beans in>>> the<<< jar. One-fourth
low,16,0.6545941233634949,arm,2178,68,2,Bill Tarmey (born William P,Bill T>>>arm<<<ey (born William P
low,17,0.6565458178520203, her,1059,477,4,Question: Erin runs her own launderette and needs,Question: Erin runs>>> her<<< own launderette and needs
low,18,0.656675398349762,f,69,127,42,github.com/stefanfoulis/django-ph,github.com/stefan>>>f<<<oulis/django-ph
low,19,0.6572268009185791, at,518,414,13, decided to have dinner together at a nearby restaurant. , decided to have dinner together>>> at<<< a nearby restaurant. 
low,20,0.6589750647544861, to,311,473,13," he gave six of them to Neil. Now, Henry"," he gave six of them>>> to<<< Neil. Now, Henry"
